epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,116.661,0.88845,0.33499,0.25453,0.56682,1.05032,0.99447,1,0.995,0.76536,0.99447,1,0.995,0.99222,0.93933,0.13677,0.03948,0.43769,1.01045,0.0013796,0.0013796,0.0013796
49,118.399,0.86948,0.33991,0.2672,0.58189,1.0589,0.9979,1,0.995,0.76458,0.9979,1,0.995,0.98523,0.92916,0.1596,0.05173,0.44067,1.00404,0.0013664,0.0013664,0.0013664
50,120.025,0.89238,0.3004,0.24668,0.59902,1.08072,0.99759,1,0.995,0.79838,0.99759,1,0.995,0.98019,0.81735,0.16185,0.03986,0.39234,0.96277,0.0013532,0.0013532,0.0013532
51,121.665,0.85724,0.25783,0.23196,0.6025,1.05494,0.99762,1,0.995,0.75909,0.99762,1,0.995,0.99051,0.89394,0.15508,0.02707,0.41606,0.99316,0.00134,0.00134,0.00134
52,123.261,0.83585,0.25993,0.24206,0.54369,1.02705,0.99782,1,0.995,0.78059,0.99782,1,0.995,0.98946,0.8559,0.12988,0.02628,0.41043,0.99217,0.0013268,0.0013268,0.0013268
53,124.776,0.81058,0.24156,0.26575,0.56127,1.01651,0.99759,1,0.995,0.80758,0.99759,1,0.995,0.995,0.83126,0.13854,0.02416,0.40299,0.97421,0.0013136,0.0013136,0.0013136
54,126.302,0.88429,0.34114,0.25538,0.52048,1.06257,0.99757,1,0.995,0.7933,0.99757,1,0.995,0.99201,0.87455,0.15912,0.02545,0.38547,0.987,0.0013004,0.0013004,0.0013004
55,127.778,0.84291,0.22857,0.23222,0.5403,1.04175,0.99787,1,0.995,0.77898,0.99787,1,0.995,0.995,0.88146,0.1375,0.03146,0.37297,0.98347,0.0012872,0.0012872,0.0012872
56,129.302,0.85649,0.31664,0.2796,0.54804,1.03155,0.99786,1,0.995,0.77909,0.99786,1,0.995,0.99152,0.87664,0.13307,0.03035,0.37248,0.98138,0.001274,0.001274,0.001274
57,130.852,0.86421,0.29371,0.26476,0.56672,1.08375,0.99629,1,0.995,0.77285,0.99629,1,0.995,0.98296,0.86256,0.17538,0.0183,0.39466,0.98463,0.0012608,0.0012608,0.0012608
58,132.496,0.81466,0.2937,0.24947,0.54418,1.02598,0.99636,1,0.995,0.76649,0.99636,1,0.995,0.9916,0.85986,0.14206,0.01889,0.39291,0.98304,0.0012476,0.0012476,0.0012476
59,134.093,0.89578,0.37827,0.21637,0.581,1.03099,0.99776,1,0.995,0.77652,0.99776,1,0.995,0.99183,0.86893,0.13399,0.01601,0.38206,0.97847,0.0012344,0.0012344,0.0012344
60,135.627,0.82512,0.28826,0.28109,0.51309,1.02712,0.99735,1,0.995,0.79445,0.99735,1,0.995,0.98781,0.84853,0.1646,0.02594,0.40063,0.96201,0.0012212,0.0012212,0.0012212
61,137.169,0.81691,0.24443,0.22083,0.52057,1.01385,0.99749,1,0.995,0.78762,0.99749,1,0.995,0.99111,0.86067,0.12564,0.04263,0.40089,0.9741,0.001208,0.001208,0.001208
62,138.944,0.85211,0.26049,0.23038,0.56405,1.03283,0.99776,1,0.995,0.77324,0.99776,1,0.995,0.98723,0.84716,0.11584,0.03087,0.38695,0.97809,0.0011948,0.0011948,0.0011948
63,140.769,0.84815,0.2139,0.23197,0.53819,1.01573,0.99742,1,0.995,0.76933,0.99742,1,0.995,0.995,0.85604,0.10183,0.02044,0.39125,0.98362,0.0011816,0.0011816,0.0011816
64,142.353,0.80124,0.25015,0.21979,0.55249,1.01715,0.9959,1,0.995,0.78724,0.9959,1,0.995,0.995,0.87077,0.08647,0.01518,0.46258,0.98455,0.0011684,0.0011684,0.0011684
65,143.978,0.8332,0.27305,0.26741,0.49012,1.01174,0.99738,1,0.995,0.78609,0.99738,1,0.995,0.995,0.88231,0.08568,0.0183,0.385,0.99005,0.0011552,0.0011552,0.0011552
66,145.478,0.80492,0.22146,0.23948,0.5111,1.01097,0.99697,1,0.995,0.78112,0.99697,1,0.995,0.995,0.88758,0.10027,0.01872,0.3878,0.99561,0.001142,0.001142,0.001142
67,147.002,0.82494,0.20475,0.24812,0.56868,1.03338,0.99685,1,0.995,0.76188,0.99685,1,0.995,0.995,0.88543,0.09087,0.01795,0.37272,0.99985,0.0011288,0.0011288,0.0011288
68,148.561,0.76636,0.22226,0.23421,0.54066,1.00445,0.99784,1,0.995,0.76281,0.99784,1,0.995,0.995,0.90226,0.11483,0.02123,0.37077,1.00054,0.0011156,0.0011156,0.0011156
69,150.044,0.81434,0.22128,0.23674,0.54343,1.03156,0.99797,1,0.995,0.7768,0.99797,1,0.995,0.995,0.88774,0.10056,0.01971,0.36907,0.98983,0.0011024,0.0011024,0.0011024
70,151.61,0.78912,0.20523,0.26144,0.52821,1.03188,0.9979,1,0.995,0.79704,0.9979,1,0.995,0.995,0.86899,0.08543,0.02257,0.35702,0.98589,0.0010892,0.0010892,0.0010892
71,153.177,0.78712,0.2349,0.24168,0.51873,1.0037,0.99778,1,0.995,0.79383,0.99778,1,0.995,0.995,0.86561,0.08227,0.02079,0.35851,0.98767,0.001076,0.001076,0.001076
72,154.683,0.82855,0.24132,0.25716,0.6025,1.05322,0.99737,1,0.995,0.79117,0.99737,1,0.995,0.995,0.84229,0.08429,0.01659,0.38017,0.97588,0.0010628,0.0010628,0.0010628
73,156.406,0.82207,0.31894,0.26302,0.55548,1.0244,0.99751,1,0.995,0.77458,0.99751,1,0.995,0.995,0.84939,0.10314,0.0174,0.38397,0.96596,0.0010496,0.0010496,0.0010496
74,158.108,0.78321,0.22404,0.24909,0.51603,1.02506,0.99782,1,0.995,0.77492,0.99782,1,0.995,0.995,0.84196,0.11282,0.02761,0.3809,0.97003,0.0010364,0.0010364,0.0010364
75,159.666,0.79254,0.19917,0.22892,0.54948,1.02176,0.9978,1,0.995,0.7776,0.9978,1,0.995,0.995,0.85782,0.08825,0.03259,0.39487,0.98277,0.0010232,0.0010232,0.0010232
76,161.236,0.79447,0.17962,0.23145,0.53404,1.02729,0.99778,1,0.995,0.79205,0.99778,1,0.995,0.995,0.8483,0.09439,0.01954,0.38055,0.97772,0.00101,0.00101,0.00101
77,162.774,0.77851,0.21759,0.24835,0.512,1.01025,0.99779,1,0.995,0.80822,0.99779,1,0.995,0.995,0.85746,0.09183,0.01123,0.3754,0.98505,0.0009968,0.0009968,0.0009968
78,164.328,0.80737,0.23631,0.23522,0.55151,1.01837,0.99785,1,0.995,0.77697,0.99785,1,0.995,0.995,0.89421,0.10702,0.01052,0.38442,0.99999,0.0009836,0.0009836,0.0009836
79,165.843,0.77139,0.29792,0.25297,0.50691,1.00249,0.9978,1,0.995,0.79632,0.9978,1,0.995,0.995,0.84279,0.08798,0.01061,0.38439,0.97471,0.0009704,0.0009704,0.0009704
80,167.41,0.78289,0.2329,0.23063,0.50731,1.01953,0.99783,1,0.995,0.78758,0.99783,1,0.995,0.995,0.87444,0.08603,0.01459,0.37277,0.98862,0.0009572,0.0009572,0.0009572
81,168.902,0.72441,0.21178,0.22624,0.49782,0.97881,0.99774,1,0.995,0.78194,0.99774,1,0.995,0.995,0.87365,0.07578,0.02019,0.38706,0.98715,0.000944,0.000944,0.000944
82,170.57,0.72279,0.21195,0.20822,0.49399,0.97851,0.99774,1,0.995,0.79114,0.99774,1,0.995,0.995,0.85789,0.07994,0.01683,0.39175,0.97838,0.0009308,0.0009308,0.0009308
83,172.368,0.75041,0.18391,0.21542,0.46657,0.99673,0.99789,1,0.995,0.80928,0.99789,1,0.995,0.995,0.82894,0.08479,0.01565,0.37949,0.96172,0.0009176,0.0009176,0.0009176
84,173.872,0.74528,0.19571,0.19976,0.4988,0.99969,0.99793,1,0.995,0.79571,0.99793,1,0.995,0.995,0.85393,0.07088,0.02577,0.36564,0.96465,0.0009044,0.0009044,0.0009044
85,175.463,0.74416,0.16558,0.23179,0.47292,1.02123,0.99784,1,0.995,0.78121,0.99784,1,0.995,0.995,0.86151,0.07921,0.03763,0.3731,0.97642,0.0008912,0.0008912,0.0008912
86,177.054,0.75197,0.18886,0.21448,0.4852,1.00186,0.99759,1,0.995,0.7706,0.99759,1,0.995,0.995,0.89868,0.09953,0.02546,0.36038,0.99336,0.000878,0.000878,0.000878
87,178.602,0.75838,0.20876,0.21553,0.51881,0.99147,0.99745,1,0.995,0.77964,0.99745,1,0.995,0.995,0.91014,0.08529,0.01452,0.36122,0.99434,0.0008648,0.0008648,0.0008648
88,180.237,0.75496,0.1692,0.22772,0.46487,0.99256,0.99755,1,0.995,0.78573,0.99755,1,0.995,0.995,0.91826,0.06834,0.01287,0.37191,0.99964,0.0008516,0.0008516,0.0008516
